title,url,price,address
"5F/88 Barangaroo Avenue, Barangaroo",https://www.realestate.com.au/property-apartment-nsw-barangaroo-147706812,"Guide $1,700,000",
"85/25 Market Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-148061272,,
"9 & 9A High Street, Millers Point",https://www.realestate.com.au/property-terrace-nsw-millers+point-145094320,"Auction Price Guide $5,900,000",
"53/25 Market Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-145964956,"$1,150,000",
"51C/2 Watermans Quay, Barangaroo",https://www.realestate.com.au/property-apartment-nsw-barangaroo-146877900,"Price Guide $11,000,000",
"2006/82 Hay Street, Haymarket",https://www.realestate.com.au/property-apartment-nsw-haymarket-147281284,,
"Long's Lane, Sydney",https://www.realestate.com.au/project/long-s-lane-sydney-600044596,,
"607/19 Hickson Road, Walsh Bay",https://www.realestate.com.au/property-apartment-nsw-walsh+bay-147572736,"Buyers Guide $12,000,000 - $12,500,000",
"2802/98 Gloucester Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-148058908,Price Guide: $9.1 - $10 million,
"1706/28 Harbour Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147703024,"$640,000 - $660,000",
"1704/130 Elizabeth Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-145088764,"$1,400,000",
"701/653 George Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-146667632,"$710,000",
"1503/718 george Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-141368460,,
"1108/161 Clarence Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147418276,"Guide: $895,000 - $950,000",
"2807/68 Market Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147418272,Guide: $1.425 - $1.525 million,
"602/10 Nicolle Walk, Haymarket",https://www.realestate.com.au/property-apartment-nsw-haymarket-145687152,"$2,4m - $2,5m",
"1308/188 Day Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147416220,"Guide: $1,100,000",
"3310/81 Harbour Street, Haymarket",https://www.realestate.com.au/property-apartment-nsw-haymarket-147271712,"$890,000 - $940,000",
"38 Cumberland Street, The Rocks",https://www.realestate.com.au/project/sirius-residences-the-rocks-600045408,,
"707/71 Macquarie Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-145208212,,
"59A/2 Watermans Quay, Barangaroo",https://www.realestate.com.au/property-apartment-nsw-barangaroo-147553856,,
"LEVEL 70/115 Bathurst St, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147694288,,
"209/10 Nicolle Walk, Haymarket",https://www.realestate.com.au/property-apartment-nsw-haymarket-147411368,,
"1305/161 Clarence Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-143185576,,
"194-204 Pitt Street, Sydney",https://www.realestate.com.au/project/sydney-house-600045416,,
"103/361 Sussex Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147555616,,
"3509/117 Bathurst Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-144122600,,
"Address available on request, Haymarket",https://www.realestate.com.au/property-apartment-nsw-haymarket-143314456,,
"3111/117 Bathurst St, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147406136,"For Sale $1,050,000",
"1007/5 York Street, Sydney",https://www.realestate.com.au/property-studio-nsw-sydney-147550148,"$725,000 - $750,000",
"404/130 Elizabeth Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-144328152,,
"808/88 Hay Street, Haymarket",https://www.realestate.com.au/property-apartment-nsw-haymarket-147405708,,
"207/187 Kent Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-143180828,,
"611/61-69 Macquarie Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147920960,,
"111 Castlereagh Street, Sydney",https://www.realestate.com.au/project/111-castlereagh-sydney-600031082,,
"6B/2 Watermans Quay, Barangaroo",https://www.realestate.com.au/property-apartment-nsw-barangaroo-146651844,,
"301/185 Macquarie Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-146230884,"$2,150,000",
"3302/116 Bathurst Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147403196,,
"502/281 Elizabeth Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-142455808,,
"9L50/38 Harbour Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-145071332,,
"2410/82 Hay Street, Haymarket",https://www.realestate.com.au/property-apartment-nsw-haymarket-147545004,,
"6906/115-117  Bathurst Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147544188,,
"88 Barangaroo Avenue, Barangaroo",https://www.realestate.com.au/project/one-sydney-harbour-barangaroo-600042600,,
"86 Gloucester Street, The Rocks",https://www.realestate.com.au/property-apartment-nsw-the+rocks-147915196,,
"401/38A Cumberland Street, The Rocks",https://www.realestate.com.au/property-apartment-nsw-the+rocks-146768872,,
"123/2-8 Dixon Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147539776,"Buyers Guide $488,000",
"2502/127 Kent Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-143442760,,
"Penthouse 5407/101 Bathurst Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-146223452,,
"9E/171 Gloucester Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147002448,"$1,480,000 - $1,580,000",
"4301/129 - 135 Harrington Street, The Rocks",https://www.realestate.com.au/property-apartment-nsw-the+rocks-148053896,,
"2611/183 Kent Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-145309588,"Guide $2,275,000",
"511/35 Shelley Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147908412,"$700,000 - $725,000",
"3002/157-167 Liverpool Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-146999544,,
"1610/161 Clarence Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-146218172,"Auction Guide $1,250,000",
"3/259 Clarence Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-148050848,"$895,000",
"60 Bathurst St, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147261152,"$900,000---$950,000 must be sold!",
"9C/88 Barangaroo Avenue, Barangaroo",https://www.realestate.com.au/property-apartment-nsw-barangaroo-146069316,,
"202/27 Barangaroo Avenue, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-145306992,"$3,000,000 - $3,300,000",
"303/6 Little Hay Street, Haymarket",https://www.realestate.com.au/property-apartment-nsw-haymarket-147905660,"Guide $650,000",
"C.10.04/15 Young Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-142027288,,
"1405/61 Macquarie Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147457496,,
"1007/35 Shelley Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-145183008,"$1,150,000",
"203/29 Barangaroo Avenue, Barangaroo",https://www.realestate.com.au/property-apartment-nsw-barangaroo-145183000,,
"1903/81 Harbour Street, Haymarket",https://www.realestate.com.au/property-apartment-nsw-haymarket-145182640,,
"79A/2 Watermans Quay, Barangaroo",https://www.realestate.com.au/property-apartment-nsw-barangaroo-147796168,,
"11 Lower Fort Street, Millers Point",https://www.realestate.com.au/property-house-nsw-millers+point-140625879,,
"2006/591 George Street, Sydney",https://www.realestate.com.au/property-apartment-nsw-sydney-147530752,"$708,000",
"142/19 Hickson Road, Walsh Bay",https://www.realestate.com.au/property-apartment-nsw-walsh+bay-146362456,,
"12A/2 Watermans Quay, Barangaroo",https://www.realestate.com.au/property-apartment-nsw-barangaroo-147774328,,
