company_name,location,href,location_city,location_state,location_zip,website,type_of_production,co_packer,business_availability,products_sold,methods_of_sale,sell_at_farmers_market,farmers_market_names
"1Eatz, LLC","Raleigh, NC 27614",https://gottobenc.com/member-list/1eatz-llc/,Raleigh,NC,27614,https://www.1eatz.com/,Home Based,N/A,Seasonal,"Dry / Baking Goods, Sauces / Condiments / Rubs / Spices",,,
"3 Fish, Inc.","Gastonia, NC 28052",https://gottobenc.com/member-list/3-fish-inc/,Gastonia,NC,28052,https://www.3fish.com/,Large Scale Industrial Facility,,Year-Round,Frozen & Refrigerated,,,
My Cousin Joey's White Balsamic Vinaigrette,"Wilmington, NC 28409",https://gottobenc.com/member-list/4u2girls/,Wilmington,NC,28409,https://www.mycousinjoeys.com/,Co-packer,Carolina CoPackers,Seasonal,Sauces / Condiments / Rubs / Spices,,,
8:28 Farms LLC,"Conover, NC 28613",https://gottobenc.com/member-list/828-farms-llc/,Conover,NC,28613,https://www.828farms.com,,,,,"Retail / Direct to Consumer, Farmers Market",Yes,Conover Farmers Market
A.L.L. Seasoning,"Whitsett, NC 27377",https://gottobenc.com/member-list/a-little-love-seasoning/,Whitsett,NC,27377,http://www.allseasoning20.com,Home Based,,Seasonal,Sauces / Condiments / Rubs / Spices,,,
